"Distance (mm)","REGR (h^-1)","C1","C2","C3","C4","C5","X","P1","P2","P3"
0,0,-0.0656988986573774,-0.0654810327582096,-0.0650483902889232,-0.0643270385242268,-0.0632318078485682,-0.0615848439984994,-0.0618605430880395,-0.0620570367880089,-0.0621366023319495
5,0.03,-0.0793138759558157,-0.0786824043612303,-0.0774115631712511,-0.0752357645469026,-0.0717863156970198,-0.0662228417672222,-0.0678659138421543,-0.06894866738382,-0.0693698335992747
10,0.06,-0.0948910704150375,-0.0937730809186282,-0.091518797543664,-0.0876449679603593,-0.0814683451503271,-0.0714214090424314,-0.0745449247608914,-0.0765951581175038,-0.0773909026352045
15,0.08,-0.105334185477945,-0.103889300985205,-0.100974394996595,-0.0959604333841457,-0.0879538573102587,-0.0749010892252021,-0.0790116887796401,-0.081706921612106,-0.0827523823712012
20,0.082,-0.106071695591487,-0.104605124600299,-0.101646162414659,-0.0965553680730738,-0.0884233294598619,-0.0751586220571978,-0.0793469128665605,-0.0820914804246816,-0.0831557492976714
25,0.06,-0.095958843522805,-0.0948008136562488,-0.0924668490790817,-0.0884596401754859,-0.0820793529086861,-0.0717239001154875,-0.0749058900974927,-0.0769980638176146,-0.0778108319504851
30,0.037,-0.0832141335282268,-0.0824594930233284,-0.0809399134388655,-0.0783354406068878,-0.0741996131403874,-0.067513310547529,-0.0695191678758638,-0.0708402350525146,-0.0713539266824313
35,0.015,-0.0713787696356375,-0.0709978456787841,-0.0702328360328862,-0.0689284417821719,-0.0668740674751476,-0.0635947642451648,-0.0645050940586732,-0.0651099470221467,-0.065346260497705
40,0.005,-0.0645982831690313,-0.0644400232086847,-0.0641230000598615,-0.063585129951811,-0.0627445805584524,-0.0614186987923256,-0.061756794458466,-0.0619829523703549,-0.062071637545548
45,0.001,-0.0614578518950974,-0.0614053591754067,-0.0613006260893604,-0.0611243235542269,-0.0608522544430941,-0.0604315085929791,-0.0605227989270944,-0.0605847954413262,-0.060609303247309
50,0,-0.0603478201221967,-0.0603343102534243,-0.0603075280945087,-0.0602630171336746,-0.0601957494508321,-0.0600952038961735,-0.0601101346626716,-0.0601206910604266,-0.0601249513111465
55,0,-0.060082053364354,-0.0600788047652573,-0.0600723777799895,-0.0600617371913306,-0.0600457459657808,-0.0600220182497326,-0.0600249903178685,-0.0600270632250691,-0.0600278948949684
60,0,-0.0600192995751443,-0.0600185316444364,-0.0600170131920783,-0.0600145017027375,-0.0600107325338421,-0.0600051495843908,-0.0600058081870217,-0.0600062632072768,-0.0600064448332678
65,0,-0.0600045356695972,-0.0600043549449654,-0.0600039976429499,-0.060003406825706,-0.0600025204678224,-0.0600012081910536,-0.0600013600439343,-0.060001464582825,-0.0600015062252938
70,0,-0.0600010656919577,-0.0600010232122625,-0.0600009392309456,-0.0600008003734858,-0.0600005920775152,-0.0600002837305986,-0.0600003191989962,-0.0600003435877706,-0.060000353296298
75,0,-0.0600002503752285,-0.060000240393803,-0.0600002206609896,-0.0600001880347864,-0.0600001390946381,-0.0600000666498708,-0.0600000749677566,-0.0600000806852194,-0.060000082960705
80,0,-0.0600000588223893,-0.0600000564773002,-0.0600000518411835,-0.0600000441758826,-0.0600000326778347,-0.060000015657788,-0.0600000176108841,-0.0600000189532332,-0.0600000194874378
85,0,-0.0600000138199505,-0.0600000132689807,-0.0600000121797436,-0.060000010378815,-0.0600000076774067,-0.0600000036786468,-0.060000004137437,-0.0600000044527494,-0.0600000045782294
90,0,-0.0600000032489784,-0.0600000031194486,-0.0600000028633755,-0.0600000024399881,-0.060000001804904,-0.0600000008648217,-0.0600000009726746,-0.0600000010467979,-0.0600000010762954
95,0,-0.0600000007726413,-0.0600000007418377,-0.0600000006809408,-0.0600000005802547,-0.0600000004292249,-0.0600000002056634,-0.0600000002313116,-0.0600000002489386,-0.0600000002559532
100,0,-0.0600000002212957,-0.0600000002124731,-0.0600000001950313,-0.0600000001661933,-0.0600000001229362,-0.060000000058905,-0.0600000000662509,-0.0600000000712995,-0.0600000000733086
